                                                TABELLA PAR




                                            TABELLA GRADI PARENTELA
 CODICE                                               DESCRIZIONE
AB        BISNONNO/A
AG        GENITORE
AN        NONNO/A
CG        CONIUGE/UNITO CIVILMENTE
CO        COGNATO/A
FG        FIGLIO/A
FL        FIGLIO DEL CONIUGE/UNITO CIVILMENTE
FR        FRATELLO/SORELLA
GE        GENERO
ND        NIPOTE IN LINEA DIRETTA
NI        NIPOTE (FIGLIO DI FRATELLO/SORELLA)
NU        NUORA
SU        SUOCERO/A
ZI        ZIO/ZIA
AA        BISNIPOTE
MR        MINORE REGOLARMENTE AFFIDATO
NP        NIPOTE DIRETTO DEL CONIUGE/UNITO CIVILMENTE
NN        NONNO/A DEL CONIUGE/UNITO CIVILMENTE
NF        NIPOTE (FIGLIO DI FRATELLO/SORELLA DEL CONIUGE/UNITO CIVILMENTE)
ZC        ZIO/A DEL CONIUGE/UNITO CIVILMENTE (FRATELLI E SORELLE DEI GENITORI DEL CONIUGE/UNITO CIVILMENTE)
BC        BISNONNO/A DEL CONIUGE/UNITO CIVILMENTE
BU        BISNIPOTE DEL CONIUGE/UNITO CIVILMENTE
CL        CONIUGE/UNITO CIVILMENTE DEL NIPOTE IN LINEA RETTA




                                                                                                              1

